,avg_degree,avg_clustering,max_path_length,avg_path_length,betweenness,eigenvec_centra,pagerank
666,173,0.0128,5,2.0,0.407,0.5189,0.0353
215,130,0.0168,6,2.084,0.2906,0.3768,0.0261
94,49,0.0357,6,2.44,0.0592,0.1583,0.01
319,29,0.0468,6,2.576,0.0303,0.0977,0.0059
425,29,0.0148,5,2.9547,0.0261,0.0427,0.0062
143,29,0.0567,5,2.492,0.0341,0.1188,0.0057
530,28,0.0582,6,2.5467,0.0251,0.111,0.0056
599,26,0.0185,6,2.6827,0.0287,0.0726,0.0055
17,24,0.0507,5,2.764,0.0174,0.0743,0.0049
341,23,0.0237,5,2.8333,0.0215,0.0438,0.0051
