,avg_degree,avg_clustering,max_path_length,avg_path_length,betweenness,eigenvec_centra,pagerank
618,109,0.0785,8,3.0469,0.0593,0.1262,0.0053
1807,96,0.1289,8,3.0644,0.0534,0.1557,0.0045
49,79,0.1659,7,3.2508,0.0395,0.2166,0.0036
1355,75,0.0955,7,3.2414,0.0389,0.0332,0.0041
17,74,0.1599,8,3.4491,0.0114,0.1372,0.003
1889,67,0.1266,8,3.1472,0.0327,0.041,0.0035
1665,66,0.1333,8,3.256,0.0149,0.1231,0.0028
1026,66,0.166,8,3.6403,0.0062,0.1309,0.0026
463,63,0.1198,8,3.1022,0.0645,0.0346,0.0042
2031,63,0.1838,8,3.7809,0.0024,0.1176,0.0024
